Pillar/Bucket,NodeType,SubtypeOrTag,ExampleSeriesOrEntity,Description,KeyAttributes,TypicalSources,Price,Comments,Priority
Market pricing and liquidity,LiquidityMetric,liquidity_stats,"Volume; number_of_trades; bid ask spread; turnover at security, cohort or index level","Aggregated statistics describing how actively a security or cohort trades and how tight the market is, used to quantify liquidity risk and transaction costs.",scope_id (security/cohort/index); metric_type (volume/trade_count/spread/turnover); value; date,TRACE aggregates; vendor liquidity analytics; internal calculations,,,
Economic environment (macro/housing/mortgage/policy),IndicatorSeries,domain=macro,Unemployment rate; nonfarm payrolls; CPI; PCE; GDP; ISM; retail sales; industrial production; consumer confidence,"Macro economic time series that describe the overall growth, inflation, labor market and business cycle backdrop driving rates and credit risk.",series_id; name; domain=macro; subcategory (labor/inflation/growth/sentiment); frequency; units; source_code,BLS; BEA; ISM; Conference Board; FRED,,,
Economic environment (macro/housing/mortgage/policy),IndicatorSeries,domain=housing,Housing starts; building permits; completions; new home sales; existing home sales; inventory; months of supply,"Housing activity indicators that track construction, sales volumes and inventory, used to gauge housing supply and turnover risk.",series_id; name; domain=housing; subcategory (starts/sales/inventory); frequency; units; geo_coverage,US Census; NAR; HUD; FRED,,,
Economic environment (macro/housing/mortgage/policy),IndicatorSeries,domain=housing; subcategory=home_prices,FHFA House Price Index (national/state/MSA/zip for GSE eligible loans); S&P CoreLogic Case Shiller indexes,"House price index series that measure home value changes across geographies and segments, used to model CLTV paths and collateral strength.",series_id; name; domain=housing; subcategory=home_prices; frequency; geo_resolution (national/state/MSA/zip); index_base_year; units,FHFA HPI datasets; S&P CoreLogic Case Shiller; FRED mirrors,,,
Economic environment (macro/housing/mortgage/policy),IndicatorSeries,domain=mortgage,MBA Weekly Mortgage Applications Survey - Purchase index; Refi index; Composite index; Mortgage Credit Availability Index (MCAI); rate lock series if used,Mortgage market activity and underwriting indicators capturing demand for new loans and refis and the ease or tightness of credit conditions.,series_id; name; domain=mortgage; subcategory (applications/credit_availability/rate_locks); frequency (weekly/monthly); units,MBA; Optimal Blue or ICE for rate locks; FRED for some MBA series,,,
Economic environment (macro/housing/mortgage/policy),IndicatorSeries,domain=mortgage_system,Total mortgage debt outstanding; share in agency MBS vs private label RMBS vs HELOCs; outstanding HELOC balances,"High level aggregates describing the size and composition of the mortgage system balance sheet, including agency share and other mortgage products.",series_id; name; domain=mortgage_system; subcategory (debt_stock/agency_share/heloc); frequency (quarterly); units,Federal Reserve Z.1 Flow of Funds; Urban Institute Housing Finance Chartbook,,,
Economic environment (macro/housing/mortgage/policy),IndicatorSeries,domain=mortgage; subcategory=primary_rates,Primary mortgage rates - Freddie PMMS 30y fixed; 15y fixed; ARM rates; points and fees,"Survey based measures of average primary mortgage rates offered to borrowers, used to compute refi incentive and primary secondary spreads.",series_id; name; domain=mortgage; subcategory=primary_rates; frequency (weekly); units (percent),Freddie Mac Primary Mortgage Market Survey; FRED,,,
Economic environment (macro/housing/mortgage/policy),IndicatorSeries,domain=policy,Fed funds target rate; effective fed funds; SOMA MBS holdings; QE/QT pace; Fed balance sheet totals,Monetary policy and balance sheet series capturing policy stance and central bank presence in the MBS market.,series_id; name; domain=policy; subcategory (policy_rates/balance_sheet); frequency; units,Federal Reserve H.4.1; NY Fed SOMA data; FRED,,,
Economic environment (macro/housing/mortgage/policy),IndicatorSeries,domain=rates_curve,Treasury yields by tenor (2y; 5y; 10y; 30y); swap rates; OIS curve,"Interest rate curve series across maturities and instruments used for discounting, hedge ratios and spread calculations.",series_id; name; domain=rates_curve; subcategory (UST/swap/OIS); frequency (daily); units (percent),US Treasury; swaps provider; Bloomberg; FRED for Treasuries,,,
Economic environment (macro/housing/mortgage/policy),IndicatorSeries,domain=mortgage_spread,Primary secondary spread (primary mortgage rate minus current coupon); MBS OAS vs Treasury; standard basis series,"Spread and basis series that link mortgage rates and MBS yields to risk free curves, capturing the mortgage basis and lender margins.",series_id; name; domain=mortgage_spread; frequency; units (basis_points),Constructed from PMMS and your curve/OAS engine; Bloomberg spread series,,,
Economic environment (macro/housing/mortgage/policy),IndicatorObservation,applies_to_all_indicator_series,UNRATE value on 2025-01-01; HOUST value on 2025-01-01; FHFA HPI for CA on 2025-01-01,"Individual observation of a given indicator series at a specific date (and possibly geography), storing the numeric value and metadata.",observation_id; series_id; value; effective_date; revision_flag; geo_id (optional),Loaded from source APIs or files for each IndicatorSeries,,,
Economic environment (macro/housing/mortgage/policy),CurvePoint,yield_curve_node,10y UST at 4.2 percent on 2025-01-01; 5y swap at 3.8 percent,"Point on a yield curve at a given date and tenor, used to reconstruct full curves for pricing and risk models.",curve_id; series_id; tenor; rate_type (UST/swap/OIS); value; date,Treasury; swaps provider; vendor curves,,,
Participants (cross cutting),LegalEntity,role=issuer,Fannie Mae; Freddie Mac; Ginnie Mae; private RMBS issuers,Legal entities that issue MBS or RMBS deals and stand behind the securities structurally or via guarantees.,entity_id; name; role=issuer; country; regulator_id; LEI,GSE data; SEC filings; LEI registries,,,
Participants (cross cutting),LegalEntity,role=originator,Wells Fargo; Rocket; non bank mortgage originators,Entities that originate mortgage loans which later end up in securitized pools or whole loan portfolios.,entity_id; name; role=originator; channel_type (retail/wholesale/correspondent); country,Public disclosures; HMDA; internal mapping,,,
Participants (cross cutting),LegalEntity,role=servicer,Mr Cooper; Ocwen; bank servicers,"Entities responsible for collecting payments, managing delinquencies, and handling loss mitigation for mortgage loans.",entity_id; name; role=servicer; servicing_portfolio_stats,Servicer reports; GSE data,,,
Participants (cross cutting),LegalEntity,role=trustee,BNY Mellon; Deutsche Bank,Entities that act as trustees for securitization trusts and administer cashflows and reporting for investors.,entity_id; name; role=trustee,Trustee and deal documentation,,,
Participants (cross cutting),LegalEntity,role=rating_agency,S&P; Moody's; Fitch,Credit rating agencies that assign and monitor ratings on securitization tranches and other fixed income securities.,entity_id; name; role=rating_agency,Rating reports; regulatory filings,,,
Participants (cross cutting),LegalEntity,role=investor,Banks; REITs; insurers; asset managers,"End investors that hold MBS and related securities, such as banks, insurance companies, REITs and asset managers.",entity_id; name; role=investor; investor_type (bank/REIT/insurer/asset_manager); country,13F filings; regulatory reports; internal holdings data,,,
Participants (cross cutting),LegalEntity,role=dealer,Primary dealers and MBS market makers,Broker dealer firms that make markets and intermediate trading in MBS and TBA contracts.,entity_id; name; role=dealer; dealer_code,TRACE dealer codes; internal mapping,,,
Utility (cross cutting),Time,calendar_date,2025-01-31; month end 2025-01; Q1 2025 period,Time dimension node representing a calendar date or period used to anchor all time series and events.,time_id; date; year; quarter; month; week_of_year; is_month_end; is_quarter_end,Generated calendar table,,,
Utility (cross cutting),Geography,level=country/state/MSA/county/zip,United States; California; San Francisco CBSA; Santa Clara county; ZIP 94086,"Geographic hierarchy nodes used to link collateral, indicators and macro data by region.",geo_id; name; level; parent_geo_id; FIPS_code; CBSA_code; postal_code,US Census; FHFA geo mapping; internal geo dictionary,,,
Utility (cross cutting),Cohort,type=loan_cohort/security_cohort,2019 vintage FNCL 3.0; LTV 70-80; CA loans; high balance pools,Cohort definitions that group loans or securities into analytically meaningful buckets based on attributes and filters.,cohort_id; type; definition_rules (filters on loan or security attributes); description,Constructed internally based on business rules applied to Loans and Securities,,,
